chemsys,ligand_examples,n_total,best_overall_delta_E,worst_overall_delta_E,mean_overall_delta_E
Pd-Zn-O,O,1,-0.0014537823365872,-0.0014537823365872,-0.0014537823365872
Mo-Ti-O,O,1,-0.0040605100497516,-0.0040605100497516,-0.0040605100497516
Co-Rh-O,O,1,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196
Cr-Zr-O,O,1,-0.0070968669439945,-0.0070968669439945,-0.0070968669439945
Cr-Ti-S,S,1,-0.0096554737659261,-0.0096554737659261,-0.0096554737659261
Cd-Ti-O,O,2,-0.0101620706826731,-0.0055907120155064,-0.00787639134908975
Mo-Ni-O,O,1,-0.010807583790058,-0.010807583790058,-0.010807583790058
Ni-Pt-O,O,1,-0.0114029069414299,-0.0114029069414299,-0.0114029069414299
Cd-Ni-O,O,1,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438
Fe-Rh-O,O,1,-0.0127568841336949,-0.0127568841336949,-0.0127568841336949
Cr-Tc-O,O,1,-0.01521594828682,-0.01521594828682,-0.01521594828682
Hg-Mn-O,O,1,-0.016828365974141,-0.016828365974141,-0.016828365974141
Fe-Hf-O,O,1,-0.0180207291971075,-0.0180207291971075,-0.0180207291971075
Cd-Cr-O,O,1,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896
Co-Mn-S,S,2,-0.0219550877671736,-0.0164012574799051,-0.019178172623539352
