chemsys,ligand_examples,n_total,best_overall_delta_E,worst_overall_delta_E,mean_overall_delta_E
V-Zr-O,O,8,-1.682540435945942,-0.1121504420890595,-0.3932609506119888
Sc-Zr-O,O,7,-0.7656138917983809,-0.1224190822048944,-0.28420598064057556
Nb-Ni-O,O,3,-0.6736869076334131,-0.1565895116510073,-0.3744868521919469
Hf-Re-S,S,2,-0.6453948569173479,-0.3443619697908929,-0.4948784133541204
Mn-Ni-O,O,25,-0.6350591431579156,-0.0138991671957283,-0.11291682540896232
W-Y-O,O,13,-0.6203389839486121,-0.0769367110832677,-0.14265991613854284
Pd-Zr-O,O,1,-0.615224495228623,-0.615224495228623,-0.615224495228623
Mo-Zr-S,S,1,-0.5950515038733954,-0.5950515038733954,-0.5950515038733954
V-Zr-S,S,1,-0.5805452630366019,-0.5805452630366019,-0.5805452630366019
Ni-Ti-O,O,8,-0.5654934752935433,-0.080947919807489,-0.28888011661507557
Mn-Ti-O,O,22,-0.5482996504240986,-0.0060734070991846,-0.1260007040239162
Ti-Y-O,O,15,-0.5275801206245934,-0.0606118817541705,-0.193425483499937
Fe-Zr-S,S,1,-0.5264480911261191,-0.5264480911261191,-0.5264480911261191
Ni-Zr-O,O,4,-0.5248567787815661,-0.0758376278289203,-0.23594821396428844
Mo-Zr-O,O,1,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739
