pair,ligand,n,best_delta_E,mean_delta_E,median_delta_E,std_delta_E
Fe-Ni,S,5,-0.3277943305434015,-0.1460327564090103,-0.1268518117517189,0.11091587366267465
Hf-W,S,1,-0.3212614097832339,-0.3212614097832339,-0.3212614097832339,
Cu-Ti,S,5,-0.3193036842542144,-0.14340824115770773,-0.1167392609820659,0.10064650395600783
Cu-Nb,S,5,-0.3036173486410566,-0.13001653290923887,-0.0935265457738414,0.09762825190773795
Pd-Rh,S,1,-0.246208325027202,-0.246208325027202,-0.246208325027202,
Au-Ta,S,1,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,
Co-Ta,S,2,-0.22959019376602,-0.17136275086400604,-0.17136275086400604,0.08234603945433314
Cr-Y,S,2,-0.2192342635108729,-0.19589069032645295,-0.19589069032645295,0.033012797791655606
Ag-Rh,S,1,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084,
Fe-Ta,S,2,-0.2011962944092067,-0.15300175608228106,-0.15300175608228106,0.0681573697342482
Fe-Sc,S,1,-0.2008001756728555,-0.2008001756728555,-0.2008001756728555,
Mn-Sc,S,1,-0.1683033536113979,-0.1683033536113979,-0.1683033536113979,
Ir-Nb,S,4,-0.1682599068354937,-0.13792377238654668,-0.14766971115468014,0.034617368234500845
Ti-Zn,S,1,-0.1661361134571743,-0.1661361134571743,-0.1661361134571743,
Mn-Y,S,3,-0.1579882877097339,-0.08922456638356276,-0.1059990158988083,0.07850672008834092
Cu-Pd,S,1,-0.1543913083956805,-0.1543913083956805,-0.1543913083956805,
Cu-Ta,S,2,-0.1491203973828143,-0.1163172490463397,-0.1163172490463397,0.04639065726597881
Mo-V,S,3,-0.148720402357862,-0.11287326302570243,-0.1182485676672095,0.038814953210395305
Nb-Ni,S,4,-0.1340037573400173,-0.10782791266151273,-0.10702017415257015,0.021011692641158222
Pd-Ta,S,1,-0.1334791436342682,-0.1334791436342682,-0.1334791436342682,
Co-Nb,S,4,-0.1271699041378486,-0.10741822172198942,-0.1104478887346079,0.019998638887634465
Ni-Ta,S,2,-0.1189190426495346,-0.09171708250715765,-0.09171708250715765,0.03846938095648184
Fe-Nb,S,4,-0.1175487781213058,-0.08942335816925595,-0.084108052602962,0.020900805581327713
Hf-Y,S,1,-0.1141720369064939,-0.1141720369064939,-0.1141720369064939,
Y-Zr,S,2,-0.1132069125631041,-0.06796745998970816,-0.06796745998970816,0.06397824738363098
Cr-Fe,S,1,-0.1074699567658444,-0.1074699567658444,-0.1074699567658444,
Cr-Mn,S,1,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136,
Cr-Nb,S,2,-0.1034012614211289,-0.0926204197821361,-0.0926204197821361,0.015246412459660208
Mn-Nb,S,4,-0.1017802464092388,-0.09259495856418468,-0.09696676171886964,0.012166436368660756
Nb-V,S,3,-0.1013326852001243,-0.08009047637870197,-0.0777082190182884,0.020156938691871885
Nb-Ti,S,2,-0.1004623100644051,-0.09310505821316095,-0.09310505821316095,0.010404725349824043
Cr-V,S,4,-0.097098187370319,-0.04992445419386107,-0.0488395518269,0.051491112620019625
Cu-Y,S,1,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662,
Fe-V,S,1,-0.0811904316851975,-0.0811904316851975,-0.0811904316851975,
Cr-Ni,S,2,-0.0800082375253229,-0.07565005669044486,-0.07565005669044486,0.006163398443959034
Y-Zn,S,1,-0.0780217644925669,-0.0780217644925669,-0.0780217644925669,
Nb-Zn,S,1,-0.0731411314822143,-0.0731411314822143,-0.0731411314822143,
Cd-Nb,S,1,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126,
Co-Ti,S,1,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072,
Co-Ni,S,2,-0.070761451423057,-0.040762803498024,-0.040762803498024,0.04242449474843717
Sc-Y,S,1,-0.0701736488635591,-0.0701736488635591,-0.0701736488635591,
Cu-V,S,1,-0.0645274133348542,-0.0645274133348542,-0.0645274133348542,
Ni-Ti,S,1,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406,
Ag-Cr,S,1,-0.060173778380712,-0.060173778380712,-0.060173778380712,
Ti-Y,S,2,-0.0601561340204611,-0.03802290383846325,-0.03802290383846325,0.031301114302506886
Ti-V,S,2,-0.0595447188123604,-0.0561914259351875,-0.0561914259351875,0.004742272265507009
Co-Rh,S,1,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069,
Fe-Ti,S,1,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368,
Cd-Mn,S,2,-0.0411331133812255,-0.02192908468185755,-0.02192908468185755,0.027158597838848303
Fe-Mn,S,2,-0.0244803560012959,-0.01790363950413005,-0.01790363950413005,0.00930088166617482
Co-Mn,S,2,-0.0219550877671736,-0.019178172623539352,-0.019178172623539352,0.003927151057686789
Cr-Ti,S,1,-0.0096554737659261,-0.0096554737659261,-0.0096554737659261,
