chemsys,best_overall_delta_E,mean_overall_delta_E,n_total
V-Zr-O,-1.682540435945942,-0.3932609506119888,8
Sc-Zr-O,-0.7656138917983809,-0.28420598064057556,7
Nb-Ni-O,-0.6736869076334131,-0.3744868521919469,3
Hf-Re-S,-0.6453948569173479,-0.4948784133541204,2
Mn-Ni-O,-0.6350591431579156,-0.11291682540896232,25
W-Y-O,-0.6203389839486121,-0.14265991613854284,13
Pd-Zr-O,-0.615224495228623,-0.615224495228623,1
Mo-Zr-S,-0.5950515038733954,-0.5950515038733954,1
V-Zr-S,-0.5805452630366019,-0.5805452630366019,1
Ni-Ti-O,-0.5654934752935433,-0.28888011661507557,8
Mn-Ti-O,-0.5482996504240986,-0.1260007040239162,22
Ti-Y-O,-0.5275801206245934,-0.193425483499937,15
Fe-Zr-S,-0.5264480911261191,-0.5264480911261191,1
Ni-Zr-O,-0.5248567787815661,-0.23594821396428844,4
Mo-Zr-O,-0.5231745838516739,-0.5231745838516739,1
Co-Zr-O,-0.5120746412862286,-0.24599014244986184,3
Fe-Ti-O,-0.5027603407092435,-0.11417333040357486,47
Co-Ti-O,-0.5019698615955894,-0.15703880378174911,7
Re-Zr-O,-0.4671945722415485,-0.4671945722415485,1
W-Zr-O,-0.4392086670004483,-0.4392086670004483,1
Cu-Ti-O,-0.436577353302924,-0.4205966464358743,3
Hf-Mo-S,-0.4326762686599343,-0.42406415005298703,2
Hf-Mo-O,-0.4300564492163088,-0.4300564492163088,1
W-Zr-S,-0.4246102898898425,-0.4246102898898425,1
Hf-V-S,-0.4221111910890559,-0.4221111910890559,1
