pair,ligand_examples,n_total,best_overall_delta_E,worst_overall_delta_E,mean_overall_delta_E
V-Zr,"O,S",9,-1.682540435945942,-0.1121504420890595,-0.4869031068242954
Sc-Zr,O,7,-0.7656138917983809,-0.1224190822048944,-0.28420598064057556
Nb-Ni,"O,S",7,-0.6736869076334131,-0.0832675450008933,-0.2411573824267298
Hf-Re,"O,S",3,-0.6453948569173479,-0.3443619697908929,-0.4260958545810233
Mn-Ni,O,25,-0.6350591431579156,-0.0138991671957283,-0.11291682540896232
W-Y,O,13,-0.6203389839486121,-0.0769367110832677,-0.14265991613854284
Pd-Zr,O,1,-0.615224495228623,-0.615224495228623,-0.615224495228623
Mo-Zr,"O,S",2,-0.5950515038733954,-0.5231745838516739,-0.5591130438625347
Ni-Ti,"O,S",9,-0.5654934752935433,-0.0624949924181406,-0.17568755451660809
Mn-Ti,O,22,-0.5482996504240986,-0.0060734070991846,-0.1260007040239162
Ti-Y,"O,S",17,-0.5275801206245934,-0.0158896736564654,-0.11572419366920011
Fe-Zr,"O,S",2,-0.5264480911261191,-0.1684929698614413,-0.3474705304937802
Ni-Zr,O,4,-0.5248567787815661,-0.0758376278289203,-0.23594821396428844
Co-Zr,O,3,-0.5120746412862286,-0.0705078201572078,-0.24599014244986184
Fe-Ti,"O,S",48,-0.5027603407092435,-0.0003165432180874,-0.08476319613290582
