chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mn-O,MnO2_19395_POSCAR,35,global_gradient_fallback,3.9130972743,-0.065831300265461,-0.031946078210275994,-0.033885222055185,3.63359,6.84792,0.008005
Mn-O,MnO2_25223_POSCAR,35,global_gradient_fallback,3.9992161039,-0.016455189936413,-0.008065954025832068,-0.008389235910580934,3.4279,6.998628,0.00196429
Mn-O,MnO2_25275_POSCAR,35,global_gradient_fallback,6.892380401,-0.065817777380569,-0.03209846722262796,-0.03371931015794104,5.907755,12.061666,0.00451224
Mn-O,MnO2_25424_POSCAR,35,global_gradient_fallback,3.8238217398,-0.016502515996517,-0.008087780189635602,-0.008414735806881398,3.277561,6.691688,0.00206118
Mn-O,MnO2_33009_POSCAR,35,global_gradient_fallback,4.00746752,-0.03771111641949,-0.019941936592262902,-0.0177691798272271,3.72122,7.013068,0.00522538
Mn-O,MnO2_510408_POSCAR,35,global_gradient_fallback,4.013909116,-0.037402848903004,-0.019821146957382473,-0.017581701945621527,3.727201,7.024341,0.00517831
Mn-O,MnO2_510732_POSCAR,35,global_gradient_fallback,3.9206133,-0.030020374233667,-0.018122368752273018,-0.011898005481393983,3.48499,7.115187,0.00451557
Mn-O,MnO2_644514_POSCAR,35,global_gradient_fallback,3.9147603506,-0.10793686846065,-0.05527776475310347,-0.05265910370754653,3.635135,6.850831,0.01443527
Mn-O,MnO2_705430_POSCAR,35,local_max_drop,8.187505984,-0.37435977798597,-0.18219120232193453,-0.19216857566403545,7.310273,14.328135,0.02242716
Mn-O,MnO2_755489_POSCAR,35,local_max_drop,7.9045869352,-0.14028637731148,-0.06864343853389156,-0.07164293877758844,7.339974,13.833027,0.0086478
Mn-O,MnO2_755671_POSCAR,35,global_gradient_fallback,3.9510283487,-0.032899560069159,-0.01610164077832226,-0.016797919290836738,3.386596,6.9143,0.0039654
Mn-O,MnO2_796077_POSCAR,35,global_gradient_fallback,4.3792721287,-0.0079198125959574,-0.006231531419926361,-0.0016882811760310385,4.087321,7.152811,0.00151545
Mn-O,MnO2_796336_POSCAR,35,global_gradient_fallback,3.998184036,-0.093305957694046,-0.04332251870390525,-0.049983438990140745,3.712599,6.996822,0.01023161
Mn-O,MnO2_796340_POSCAR,35,global_gradient_fallback,3.998120658,-0.093261443320019,-0.04329964897001397,-0.04996179435000503,3.712541,6.996711,0.01022331
Mn-O,MnO3_1086672_POSCAR,35,global_gradient_fallback,6.0665828934,-0.021740527712022,-0.018072385854469464,-0.0036681418575525357,5.833253,11.433175,0.00277201
Mn-O,MnO_1232659_POSCAR,35,local_max_drop,3.9432566119,-0.12457054999797,-0.0334974907925612,-0.0910730592054088,3.154605,7.728783,0.00727054
Mn-O,MnO_1238773_POSCAR,35,global_gradient_fallback,4.3394075706,-0.011672945261112,-0.006526489135236383,-0.005146456125875618,3.29795,8.505239,0.00138626
Mn-O,MnO_1238899_POSCAR,35,global_gradient_fallback,3.5676157767,-0.021802350998742,-0.010872936619092784,-0.010929414379649217,3.121664,7.283882,0.00265122
Mn-O,MnO_19006_POSCAR,35,global_gradient_fallback,3.6133052593,-0.050802955177591,-0.023818297623196975,-0.026984657554394026,3.312196,7.377165,0.00557489
Mn-O,MnO_2831286_POSCAR,35,local_max_drop,4.334932375,-0.10073666511183,-0.03449432108437214,-0.06624234402745786,3.121151,8.496467,0.00724751
Mn-O,MnO_999539_POSCAR,35,global_gradient_fallback,4.2755749875,-0.050998813224889,-0.021546127990805016,-0.029452685234083984,3.591483,8.380127,0.00469164
