chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-O,FeO2_1443203_POSCAR,35,global_gradient_fallback,6.6482614842,-0.043249319684262,-0.03321375200602592,-0.01003556767823608,6.392559,12.529416,0.00481029
Fe-O,FeO2_25236_POSCAR,35,global_gradient_fallback,3.7258225974,-0.011984097274471,-0.0076432269582847965,-0.004340870316186204,3.439221,7.021743,0.00193035
Fe-O,FeO2_25332_POSCAR,35,global_gradient_fallback,4.6843038303,-0.021827383696916,-0.01886519098801791,-0.0029621927088980884,4.143807,8.828111,0.00393021
Fe-O,FeO2_540003_POSCAR,35,global_gradient_fallback,6.4933401101,-0.036357807274692,-0.033259445640002466,-0.003098361634689531,5.993852,12.237449,0.00475633
Fe-O,FeO2_796324_POSCAR,35,global_gradient_fallback,9.5565402999,-0.046699184040668,-0.0356787640522955,-0.011020419988372498,8.453863,18.010403,0.003616
Fe-O,FeO2_821313_POSCAR,35,global_gradient_fallback,3.888793922,-0.012133285972326,-0.007818335162592217,-0.004314950809733783,3.589656,7.328881,0.00189871
Fe-O,FeO3_863316_POSCAR,35,global_gradient_fallback,9.5620907719,-0.015269116372456,-0.014513243833332851,-0.0007558725391231483,8.458773,18.020863,0.00140022
Fe-O,FeO_1178232_POSCAR,35,global_gradient_fallback,3.7853779254,-0.087148095807371,-0.047648384355305225,-0.039499711452065774,3.46993,7.72848,0.0110197
Fe-O,FeO_1178239_POSCAR,35,global_gradient_fallback,4.0965241946,-0.061971151968577,-0.04432054848214018,-0.017650603486436815,3.584459,8.363737,0.0096022
Fe-O,FeO_1178247_POSCAR,35,local_max_drop,6.64894305,-0.24024589929813,-0.10997165897774812,-0.13027424032038187,5.319154,13.031928,0.01513457
Fe-O,FeO_1244983_POSCAR,35,local_max_drop,13.3118772044,-0.61009219926855,-0.3602769418894766,-0.24981525737907334,12.246927,26.091279,0.02540303
