chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-S,Fe11S12_1225858_POSCAR,35,local_max_drop,9.0331575861,-0.34791929944886,-0.24045830852847883,-0.1074609909203812,8.387932,15.808026,0.02962174
Fe-S,Fe2S_684641_POSCAR,35,local_max_drop,6.4863140503,-0.2311386614558,-0.1353323338216552,-0.09580632763414482,5.791352,11.35105,0.02275811
Fe-S,Fe2S_851357_POSCAR,35,local_max_drop,7.1123326346,-0.25086715441454,-0.14508445462981706,-0.10578269978472293,6.604309,12.446582,0.02275008
Fe-S,Fe3S_1184373_POSCAR,35,global_gradient_fallback,6.717302397,-0.10077556183541,-0.06058511967647692,-0.04019044215893308,6.200587,12.659531,0.00855024
Fe-S,Fe3S_1189032_POSCAR,35,local_max_drop,7.4709782,-0.23335261928889,-0.11696295494080938,-0.11638966434808062,6.670516,13.074212,0.01697825
Fe-S,Fe4S5_850083_POSCAR,35,global_gradient_fallback,11.442340165,-0.062485472500238,-0.04805735834436303,-0.014428114155874965,9.469523,19.333609,0.00433106
Fe-S,Fe4S5_850249_POSCAR,35,global_gradient_fallback,11.385239659,-0.062532324999169,-0.0486718266673354,-0.013860498331833601,9.422267,19.237129,0.00440505
Fe-S,Fe4S5_870701_POSCAR,35,global_gradient_fallback,15.0396929,-0.062535558113107,-0.048514545868735603,-0.014021012244371397,12.446642,25.411895,0.00332464
Fe-S,Fe7S12_684707_POSCAR,35,local_max_drop,7.5653298,-0.3729346048142,-0.3048220136027127,-0.06811259121148727,7.295139,13.239327,0.04472709
Fe-S,Fe7S8_21688_POSCAR,35,local_max_drop,9.302750002,-0.3230669674128,-0.2241938947193235,-0.0988730726934765,8.638268,16.279813,0.02683815
Fe-S,Fe7S8_556435_POSCAR,35,local_max_drop,9.21487,-0.31960388311789,-0.23991228502109418,-0.07969159809679582,8.885768,16.126023,0.02906952
Fe-S,FeS_2779_POSCAR,35,local_max_drop,6.8954145735,-0.19005346235382,-0.1262798924883411,-0.06377356986547891,6.384643,12.513901,0.01935263
