chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Zn-S,ZnS_1245213_POSCAR,35,local_max_drop,17.2625306756,-0.53634565718357,-0.39522269603136984,-0.14112296115220013,15.934644,32.533231,0.02341541
Zn-S,ZnS_1245216_POSCAR,35,local_max_drop,15.3900402422,-0.55576951137783,-0.4054041476056831,-0.15036536377214693,14.206191,29.004307,0.02697116
Zn-S,ZnS_1245220_POSCAR,35,local_max_drop,17.6545334396,-0.53281019274887,-0.3966065220464179,-0.1362036707024521,16.296492,33.272005,0.02303067
Zn-S,ZnS_1245222_POSCAR,35,local_max_drop,17.8688730748,-0.52331172112736,-0.3979427245135883,-0.1253689966137717,17.181609,33.675953,0.0228286
Zn-S,ZnS_1245236_POSCAR,35,local_max_drop,17.6245042025,-0.5065656897787,-0.3881962606924565,-0.11836942908624348,16.946639,33.215412,0.02250869
Zn-S,ZnS_1245238_POSCAR,35,local_max_drop,18.351169521,-0.50965030721452,-0.3828612556934826,-0.12678905152103737,16.939541,34.584896,0.02133643
Zn-S,ZnS_1245246_POSCAR,35,local_max_drop,17.7828643756,-0.54146048354912,-0.3937668174031921,-0.14769366614592794,16.414952,33.51386,0.02264693
Zn-S,ZnS_1245248_POSCAR,35,local_max_drop,17.7317233366,-0.50262295786929,-0.3898422250306546,-0.11278073283863543,17.049734,33.417479,0.02246213
Zn-S,ZnS_1245280_POSCAR,35,local_max_drop,18.08575346,-0.5290889943367,-0.4055563844113774,-0.12353260992532256,17.390148,34.084689,0.0230183
Zn-S,ZnS_1245296_POSCAR,35,local_max_drop,17.3067670932,-0.53779218153706,-0.417898368730497,-0.11989381280656297,16.641122,32.6166,0.0249193
Zn-S,ZnS_1245300_POSCAR,35,local_max_drop,18.2549272896,-0.50692475038321,-0.39279272296876117,-0.11413202741444889,17.552815,34.403517,0.02204096
Zn-S,ZnS_1245310_POSCAR,35,local_max_drop,18.0603910671,-0.51860289504585,-0.3966258454897738,-0.12197704955607619,17.365761,34.036891,0.02250275
Zn-S,ZnS_1245316_POSCAR,35,local_max_drop,17.3769823769,-0.51251407599796,-0.4040696386965359,-0.10844443730142406,16.708637,32.748928,0.02387457
Zn-S,ZnS_1245317_POSCAR,35,local_max_drop,16.9649738638,-0.50747718409842,-0.38916552385517383,-0.11831166024324619,16.312475,31.972451,0.02343188
Zn-S,ZnS_1245319_POSCAR,35,local_max_drop,16.5863590878,-0.52113002775114,-0.4029796548739032,-0.11815037287723684,15.948422,31.258908,0.02494816
Zn-S,ZnS_553880_POSCAR,35,local_max_drop,5.142757149,-0.29387468912896,-0.2073747641521324,-0.08649992497682757,4.761812,9.333152,0.04406888
Zn-S,ZnS_553916_POSCAR,35,local_max_drop,5.14036044,-0.27133264388092,-0.19150488972739593,-0.07982775415352406,4.759593,9.328802,0.04070818
Zn-S,ZnS_554004_POSCAR,35,local_max_drop,5.142769758,-0.3165184580632,-0.22332649790897974,-0.09319196015422027,4.761824,9.333175,0.04746701
Zn-S,ZnS_554115_POSCAR,35,local_max_drop,5.1435339389,-0.27100182403789,-0.19119504752578892,-0.07980677651210111,4.762531,9.334562,0.04062566
Zn-S,ZnS_554253_POSCAR,35,local_max_drop,5.1435288225,-0.29381323223776,-0.20731379126689986,-0.08649944097086015,4.762527,9.334552,0.0440519
Zn-S,ZnS_554503_POSCAR,35,local_max_drop,5.1444914535,-0.31623675263444,-0.22311105332078685,-0.09312569931365317,4.763418,9.336299,0.04740028
Zn-S,ZnS_554608_POSCAR,35,local_max_drop,5.143341753,-0.29374923237608,-0.2072720271685354,-0.08647720520754462,4.762353,9.334213,0.04404166
Zn-S,ZnS_554630_POSCAR,35,local_max_drop,5.143741839,-0.27110065694118,-0.19125098472462954,-0.07984967221655048,4.762724,9.334939,0.04064304
Zn-S,ZnS_554681_POSCAR,35,local_max_drop,5.14185435,-0.3164652270143,-0.22334039196881297,-0.09312483504548705,4.760976,9.331513,0.04746359
Zn-S,ZnS_554713_POSCAR,35,local_max_drop,5.138143254,-0.27150810778083,-0.19163726700522382,-0.07987084077560619,4.75754,9.324778,0.04075775
Zn-S,ZnS_554820_POSCAR,35,local_max_drop,5.141862828,-0.31645238697913,-0.2233494067866532,-0.09310298019247679,4.760984,9.331529,0.04746027
Zn-S,ZnS_554829_POSCAR,35,local_max_drop,5.1422538825,-0.27118450762347,-0.1913560150467545,-0.07982849257671551,4.761346,9.332239,0.04066787
Zn-S,ZnS_554889_POSCAR,35,local_max_drop,5.140560996,-0.27133596269414,-0.19146461473424592,-0.07987134795989409,4.759779,9.329166,0.04070922
Zn-S,ZnS_554961_POSCAR,35,local_max_drop,5.143001013,-0.31636491732157,-0.22323886920459107,-0.09312604811697894,4.762038,9.333594,0.04743575
Zn-S,ZnS_554986_POSCAR,35,local_max_drop,5.009165707,-0.38317020834357,-0.2749702267405862,-0.10819998160298383,4.816505,9.440351,0.05582062
Zn-S,ZnS_554999_POSCAR,35,local_max_drop,5.139439551,-0.2714026325085,-0.191552059875254,-0.07985057263324599,4.75874,9.327131,0.04072822
Zn-S,ZnS_555079_POSCAR,35,local_max_drop,5.144025474,-0.31626331349592,-0.2231590109491306,-0.09310430254678942,4.762987,9.335454,0.04740801
Zn-S,ZnS_555151_POSCAR,35,local_max_drop,5.1432301755,-0.31633737048576,-0.22321191095534812,-0.09312545953041187,4.76225,9.33401,0.04742905
Zn-S,ZnS_555214_POSCAR,35,local_max_drop,5.1366117465,-0.29619538799825,-0.20980126723871062,-0.0863941207595394,4.756122,9.321999,0.04471152
Zn-S,ZnS_555311_POSCAR,35,local_max_drop,5.1436814265,-0.29379596573077,-0.20729752113503438,-0.08649844459573561,4.762668,9.334829,0.04404778
Zn-S,ZnS_555381_POSCAR,35,local_max_drop,5.140399779,-0.27135078536212,-0.19152285177181685,-0.07982793359030313,4.759629,9.328874,0.04071095
Zn-S,ZnS_555543_POSCAR,35,local_max_drop,5.141346264,-0.27133047445355,-0.19150290100763234,-0.07982757344591768,4.760506,9.330591,0.04070005
Zn-S,ZnS_555583_POSCAR,35,local_max_drop,5.142357036,-0.27125373727657,-0.1914042795542186,-0.07984945772235139,4.761442,9.332426,0.04067997
Zn-S,ZnS_555594_POSCAR,35,local_max_drop,5.140809315,-0.27133404383616,-0.19150677815941658,-0.07982726567674342,4.760009,9.329617,0.04070495
Zn-S,ZnS_555628_POSCAR,35,local_max_drop,5.139120438,-0.27146029545109,-0.19158865607528383,-0.07987163937580619,4.758445,9.326552,0.0407417
Zn-S,ZnS_555664_POSCAR,35,local_max_drop,5.1418520685,-0.2712720710719,-0.1914667333368338,-0.07980533773506618,4.760974,9.331509,0.04068514
Zn-S,ZnS_555666_POSCAR,35,local_max_drop,5.1395882535,-0.36177014305682,-0.2553241713242317,-0.1064459717325883,4.758878,9.327401,0.05428466
Zn-S,ZnS_555782_POSCAR,35,local_max_drop,5.1391984275,-0.22614690850248,-0.15961625481613875,-0.06653065368634126,4.758517,9.326693,0.03393763
