chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Ti-O,Ti3O_1245176_POSCAR,35,local_max_drop,15.8280423853,-2.1683140458917,-0.5655365900003928,-1.602777455891307,14.190659,26.743934,0.03529048
Ti-O,Ti3O_2591_POSCAR,35,local_max_drop,7.192284764,-0.40500213268747,-0.09437918945610409,-0.3106229432313659,6.67855,12.586498,0.01188279
Ti-O,Ti3O_554032_POSCAR,35,local_max_drop,7.177583336,-0.2040326749797,-0.04720482072513936,-0.15682785425456064,6.664899,12.560771,0.00613451
Ti-O,Ti3O_557812_POSCAR,35,local_max_drop,7.189477806,-0.60816939941919,-0.14159484137360107,-0.46657455804558895,6.675944,12.581586,0.01784336
Ti-O,Ti4O3_1217135_POSCAR,35,local_max_drop,5.4270967376,-0.13656582130751,-0.03612211645562504,-0.10044370485188495,5.039447,9.497419,0.00615181
Ti-O,Ti4O5_10734_POSCAR,35,local_max_drop,5.5008270422,-0.10990566943229,-0.033173999783045714,-0.0767316696492443,5.12146,9.294501,0.00587388
Ti-O,Ti4O7_12205_POSCAR,35,local_max_drop,8.0732924114,-0.34457522776168,-0.1260244634773973,-0.2185507642842827,7.516514,13.64108,0.01604791
Ti-O,Ti4O7_778663_POSCAR,35,local_max_drop,8.5645154943,-0.31599603931737,-0.11659100903567936,-0.19940503028169065,7.973859,14.471078,0.01387096
Ti-O,Ti5O7_1045759_POSCAR,35,local_max_drop,7.4908732315,-0.2447005228681,-0.07908484349832828,-0.16561567936977173,6.715955,12.656993,0.01075435
Ti-O,Ti5O8_759920_POSCAR,35,local_max_drop,7.8970588645,-0.33491000850185,-0.11599873608149501,-0.21891127242035496,7.352434,13.343306,0.01459148
Ti-O,Ti5O9_748_POSCAR,35,local_max_drop,7.8346501955,-0.21076382988784,-0.0787534770103849,-0.1320103528774551,7.294329,13.237857,0.01038169
Ti-O,Ti6O11_30524_POSCAR,35,local_max_drop,7.9324341218,-0.24870993130241,-0.09434801220235647,-0.15436191910005354,7.38537,13.403078,0.0122793
Ti-O,Ti6O11_559964_POSCAR,35,local_max_drop,5.446225143,-0.22149367495097,-0.08315959922181616,-0.13833407572915385,5.070623,9.202242,0.0149965
Ti-O,Ti6O_554098_POSCAR,35,local_max_drop,7.147420504,-0.40259973004758,-0.0896914190550571,-0.31290831099252286,6.63689,12.507986,0.01131994
Ti-O,Ti6O_882_POSCAR,35,local_max_drop,7.14670649,-0.40377568948832,-0.08982747938286144,-0.31394821010545854,6.636227,12.506736,0.01136812
Ti-O,Ti7O13_556724_POSCAR,35,local_max_drop,8.0452008666,-0.2866045419327,-0.10991115760985706,-0.17669338432284296,7.490359,13.593615,0.01409792
Ti-O,Ti7O8_779692_POSCAR,35,local_max_drop,7.1877874823,-0.18108803126116,-0.054375834698196054,-0.12671219656296395,6.444223,12.144882,0.0073556
Ti-O,Ti8O13_752989_POSCAR,35,local_max_drop,8.9874275251,-0.16869470036884,-0.05680953642343564,-0.11188516394540435,8.367605,15.185653,0.00604004
Ti-O,Ti8O15_565700_POSCAR,35,local_max_drop,7.9794720118,-0.32452411827747,-0.12547516926990046,-0.19904894900756956,7.429164,13.482556,0.01622056
Ti-O,Ti9O10_1217149_POSCAR,35,local_max_drop,7.3995547904,-0.22937112561636,-0.06723239440391791,-0.1621387312124421,6.634084,12.502696,0.00888226
Ti-O,Ti9O10_32813_POSCAR,35,local_max_drop,6.5310481565,-0.24291255751826,-0.07659262058135621,-0.16631993693690378,5.855422,11.035219,0.01200085
Ti-O,Ti9O13_1045643_POSCAR,35,local_max_drop,7.3488087705,-0.21669219008442,-0.07094375468565006,-0.14574843539876994,6.588587,12.416953,0.00974147
Ti-O,Ti9O17_27273_POSCAR,35,local_max_drop,8.0142048918,-0.36304989203643,-0.14115859151176177,-0.22189130052466824,7.461501,13.541243,0.0181591
Ti-O,Ti9O8_32544_POSCAR,35,local_max_drop,8.4824307237,-0.5920895133535,-0.16616557337414697,-0.4259239399793531,7.876543,14.844254,0.01824943
Ti-O,TiO2_1008677_POSCAR,35,global_gradient_fallback,4.1494356231,-0.026839810622043,-0.010438346010922802,-0.016401464611120197,3.853047,7.261512,0.00261777
Ti-O,TiO2_1041565_POSCAR,35,global_gradient_fallback,7.6572470492,-0.077379582125569,-0.03340259710828675,-0.043976985017282255,6.865118,12.938107,0.00465979
Ti-O,TiO2_1044853_POSCAR,35,local_max_drop,9.04229751,-0.18171755456389,-0.0698651280771307,-0.11185242648675929,8.439478,14.769086,0.00770748
Ti-O,TiO2_1079207_POSCAR,35,local_max_drop,7.46401663,-0.090251430662302,-0.035528380213200234,-0.054723050449101765,7.197445,13.062029,0.00497889
Ti-O,TiO2_1101022_POSCAR,35,global_gradient_fallback,5.2335454283,-0.048392512804546,-0.02802575161618102,-0.020366761188364977,4.872611,8.842887,0.00544765
Ti-O,TiO2_1102255_POSCAR,35,local_max_drop,4.4341164,-0.1184388337989,-0.04641018573985904,-0.07202864805904095,4.275755,7.759704,0.01094529
Ti-O,TiO2_1102591_POSCAR,35,local_max_drop,7.1078043,-0.091337491247716,-0.03683882760075777,-0.054498663646958226,6.617611,12.009738,0.0057208
Ti-O,TiO2_1190753_POSCAR,35,local_max_drop,7.0235564,-0.19092640372659,-0.07457351315779473,-0.11635289056879528,6.539173,11.867388,0.01153741
Ti-O,TiO2_1201727_POSCAR,35,local_max_drop,4.3024646645,-0.28141338705904,-0.10944692778769918,-0.17196645927134083,4.154104,7.269682,0.02450908
Ti-O,TiO2_1245098_POSCAR,35,local_max_drop,15.7947194436,-0.41238187258904,-0.16962984405653003,-0.24275202853251,14.741738,25.798042,0.01120562
Ti-O,TiO2_1245134_POSCAR,35,local_max_drop,15.5434684436,-0.43595502879214,-0.18896796950752587,-0.24698705928461412,14.507237,25.387665,0.01318056
Ti-O,TiO2_1245308_POSCAR,35,local_max_drop,15.62876539,-0.46277719520256,-0.19871362309085225,-0.2640635721117077,14.065889,25.526983,0.01398593
Ti-O,TiO2_1245321_POSCAR,35,local_max_drop,15.404109505,-0.42673145225516,-0.18718848076390604,-0.23954297149125398,14.377169,25.160046,0.01323257
Ti-O,TiO2_1341203_POSCAR,35,local_max_drop,7.5175743,-0.13280802362638,-0.04502726291313801,-0.08778076071324199,6.999121,12.702108,0.00512985
