chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Co-O,Co15O28_766681_POSCAR,35,local_max_drop,9.8993691099,-0.21732010699529,-0.10705017043879275,-0.11026993655649725,8.432796,17.965522,0.01002028
Co-O,Co21O40_850026_POSCAR,35,local_max_drop,13.0868100095,-0.31046804622078,-0.16522659470543716,-0.14524145151534285,12.117417,23.750137,0.01201446
Co-O,Co23O32_2740066_POSCAR,35,local_max_drop,9.8910394103,-0.43595153022094,-0.22049928877661942,-0.2154522414443206,8.4257,17.950405,0.02250805
Co-O,Co23O32_705564_POSCAR,35,local_max_drop,9.8040115447,-0.43332187480738,-0.2289708424209505,-0.2043510323864295,8.672779,18.476791,0.02251589
Co-O,Co29O40_705563_POSCAR,35,local_max_drop,9.905846033,-0.54031480659263,-0.2768684160449475,-0.2634463905476825,8.38187,18.66871,0.02709873
Co-O,Co2O3_1043418_POSCAR,35,local_max_drop,6.695793312,-0.14459592567031,-0.06746448455849897,-0.07713144111181101,5.665671,12.618995,0.00962783
Co-O,Co3O4_1271784_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.09899893406561854,-0.012211137281391463,4.123551,12.628374,0.01470969
Co-O,Co3O4_1271793_POSCAR,35,local_max_drop,6.5807666898,-0.11750007019985,-0.058078776107476346,-0.05942129409237365,5.568341,12.402214,0.00857373
Co-O,Co3O4_1271940_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.09899893406561854,-0.012211137281391463,4.123551,12.628374,0.01470969
Co-O,Co3O4_18748_POSCAR,35,global_gradient_fallback,6.4051531213,-0.11254454141021,-0.1098466597744875,-0.0026978816357225016,3.941633,12.07125,0.01761549
Co-O,Co5O7_1046082_POSCAR,35,local_max_drop,6.680741665,-0.18355617776243,-0.08743439820354874,-0.09612177955888125,5.652935,12.590629,0.01259773
Co-O,Co9O13_1343966_POSCAR,35,local_max_drop,6.6116053468,-0.16651703922022,-0.07752540708431246,-0.08899163213590752,5.594435,12.460333,0.01123204
Co-O,CoO2_1047639_POSCAR,35,global_gradient_fallback,6.339012264,-0.049754821398559,-0.03366727469877255,-0.016087546699786452,5.607588,11.9466,0.00484255
Co-O,CoO2_1062643_POSCAR,35,global_gradient_fallback,11.8799397887,-0.010582674262563,-0.008888955427562184,-0.0016937188350008153,7.310732,22.389117,0.00068705
