chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Nb-O,Nb12O29_1470_POSCAR,35,local_max_drop,16.129663815,-0.29814452368421,-0.1804250434945299,-0.11771948018968012,15.054353,26.345118,0.01320848
Nb-O,Nb12O29_510554_POSCAR,35,local_max_drop,14.8639712612,-0.1497853037708,-0.09040730182643204,-0.059378001944367945,13.87304,24.27782,0.00718305
Nb-O,Nb2O5_1201852_POSCAR,35,local_max_drop,5.7109627894,-0.18805534975236,-0.11692608348554615,-0.07112926626681385,5.520597,9.327906,0.02363275
Nb-O,Nb2O5_1364247_POSCAR,35,local_max_drop,5.7473204262,-0.1959696334873,-0.1195222055775122,-0.07644742790978781,5.364166,9.38729,0.02470684
Nb-O,Nb2O5_556048_POSCAR,35,local_max_drop,22.799248372,-0.18050212786957,-0.1117239544023888,-0.06877817346718121,21.328329,36.037522,0.00607597
Nb-O,Nb2O5_581967_POSCAR,35,local_max_drop,5.807859,-0.33254724592498,-0.2118164118939133,-0.12073083403106669,5.614264,9.48617,0.04303248
Nb-O,Nb2O5_680944_POSCAR,35,local_max_drop,5.7486203467,-0.18992939208418,-0.11907134159542729,-0.07085805048875271,5.557,9.389413,0.02433529
Nb-O,Nb2O5_766361_POSCAR,35,local_max_drop,17.262906551,-0.25139179996831,-0.15440187024534202,-0.096989929722968,16.687476,28.196081,0.01045392
Nb-O,Nb4O5_28212_POSCAR,35,local_max_drop,7.020640276,-0.20435161721472,-0.08288746553308234,-0.12146415168163767,6.052276,11.862461,0.01355701
Nb-O,NbO2_1244881_POSCAR,35,local_max_drop,17.1751214819,-0.50942294017835,-0.2583620505906474,-0.2510608895877026,14.885105,28.052698,0.01769838
Nb-O,NbO2_1244973_POSCAR,35,local_max_drop,16.9462967144,-0.51128182262518,-0.27602668495289623,-0.23525513767228373,14.68679,27.678951,0.01973821
Nb-O,NbO2_1245189_POSCAR,35,local_max_drop,16.1746495812,-0.56235690020162,-0.29394450601458577,-0.2684123941870342,14.01803,26.418594,0.02208978
Nb-O,NbO2_557057_POSCAR,35,local_max_drop,8.3029826576,-0.14056680333736,-0.07812197465345985,-0.06244482868390014,7.74945,13.561538,0.01162812
Nb-O,NbO2_649729_POSCAR,35,local_max_drop,17.3951693115,-0.2130756080169,-0.11825689379261786,-0.09481871422428215,16.235491,28.41211,0.00817201
Nb-O,NbO2_776975_POSCAR,35,local_max_drop,7.3315451,-0.18405705249879,-0.08905309384688502,-0.09500395865190499,6.320297,12.387783,0.01429966
Nb-O,NbO2_821_POSCAR,35,local_max_drop,8.6576784311,-0.27914021811934,-0.1553959816350608,-0.12374423648427918,8.0805,14.140875,0.02216202
Nb-O,NbO_2692_POSCAR,35,global_gradient_fallback,3.8674471775,-0.034907424766081,-0.03303485065965425,-0.0018725741064267443,2.20997,6.768033,0.01062316
