chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mo-S,Mo15S19_31257_POSCAR,35,local_max_drop,13.477614048,-0.47916344269779,-0.3205504420914523,-0.1586130006063377,12.548123,22.77252,0.02858023
Mo-S,Mo21S8_1210708_POSCAR,35,local_max_drop,17.0490915845,-0.45045281086321,-0.2973792666623008,-0.15307354420090918,15.873292,28.807086,0.02209121
Mo-S,Mo7S8_673645_POSCAR,35,local_max_drop,9.3130183255,-0.23571454026172,-0.169730865990242,-0.065983674271478,8.670741,15.73579,0.02250454
Mo-S,MoS2_990083_POSCAR,35,local_max_drop,4.58632245,-0.31376257782807,-0.24120257034197784,-0.07256000748609215,4.270024,7.749303,0.06558642
