chemsys,metal,ligand,n,best_delta_E,worst_delta_E,mean_delta_E,median_delta_E,std_delta_E
Ti-O,Ti,O,107,-1.6057661461466,-0.0013537552735208,-0.28267360466918057,-0.1383391378585381,0.3834841817478039
Nb-S,Nb,S,13,-1.0842023921852433,-7.521880662195515e-05,-0.2235530546125471,-0.1299769463492968,0.2910344599549192
Zr-S,Zr,S,11,-0.7231444753281236,-0.0577098220038514,-0.34936038680728015,-0.4051212867307233,0.1932981157829477
Ti-S,Ti,S,14,-0.7069226199479104,-0.0061766977331722,-0.15846982521178038,-0.0645382196858777,0.21480349296486137
V-O,V,O,130,-0.6891613514457487,-0.0020327994549086,-0.0987093233190171,-0.08317956774025614,0.07241832944423643
Y-O,Y,O,19,-0.6326966991093349,-0.0013405907472044,-0.2069900644237729,-0.1165153187940653,0.23915094772544304
Mn-O,Mn,O,62,-0.5650836296435213,-0.001688281176031,-0.104514189791623,-0.06863462554722871,0.12310726839761844
Fe-O,Fe,O,122,-0.4713825755546094,-0.0005208892456901,-0.09723973046105756,-0.075346102898323,0.08931338552968573
Cu-O,Cu,O,1,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,
V-S,V,S,13,-0.4423245653306554,-0.0005012014548109,-0.10356334319273298,-0.0732435221203235,0.12863011710141983
Sc-O,Sc,O,8,-0.4387089915759971,-0.0267760387026724,-0.18311571010891478,-0.15089766163755006,0.15107133847241755
Pd-O,Pd,O,3,-0.3659186590475131,-6.222985105498041e-05,-0.14104825459964995,-0.0571638749003818,0.19682523609599453
Co-O,Co,O,39,-0.3565828424330174,-0.0004484186359869,-0.09229059440986213,-0.070898439215934,0.10417798227781094
Zr-O,Zr,O,19,-0.3419377176395783,-0.0040043007703217,-0.15572789416029287,-0.129005946256626,0.09815233871222895
Ni-S,Ni,S,12,-0.3366414857509834,-0.0028792573203207,-0.0911586870638238,-0.059112760581909105,0.09772708138696963
